Dates,Category,Descript,PdDistrict,Resolution,Address,X,Y
2005-01-24 18:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,PARK,NONE,14TH ST / NOE ST,-122.433409294235,37.76745989062879
2003-10-30 23:59:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,SOUTHERN,"ARREST, BOOKED",VAN NESS AV / MARKET ST,-122.419257894821,37.775146291630996
2011-01-30 22:05:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",INGLESIDE,PSYCHOPATHIC CASE,3300 Block of MISSION ST,-122.421128029505,37.7435550542265
2008-11-25 08:43:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,TENDERLOIN,NONE,TURK ST / TAYLOR ST,-122.410768766343,37.7832145190013
2015-02-06 07:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,INGLESIDE,NONE,0 Block of COLERIDGE ST,-122.41920012903401,37.7446306934522
2005-07-29 13:21:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,BAYVIEW,"ARREST, BOOKED",900 Block of CONNECTICUT ST,-122.397089183868,37.753598788032704
2003-12-11 17:00:00,OTHER OFFENSES,CONSPIRACY,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103
2006-11-29 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,BAYVIEW,NONE,1600 Block of BAY SHORE BL,-122.40008040928,37.722074186365795
2005-11-20 15:08:00,OTHER OFFENSES,TRAFFIC VIOLATION,NORTHERN,"ARREST, BOOKED",POLK ST / GROVE ST,-122.41822989972799,37.7784895366584
2009-08-17 14:37:00,OTHER OFFENSES,PAROLE VIOLATION,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / LEAVENWORTH ST,-122.414433155063,37.7846576329256
2007-11-18 10:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,1200 Block of WEBSTER ST,-122.430554366219,37.78213547253
2004-07-06 00:15:00,OTHER OFFENSES,PAROLE VIOLATION,SOUTHERN,"ARREST, BOOKED",MISSION ST / 6TH ST,-122.40871060667101,37.7809706721824
2004-04-01 00:13:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,CENTRAL,"ARREST, BOOKED",1600 Block of THE EMBARCADERO NORTH ST,-122.410774214399,37.8084350184877
2015-03-04 00:01:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,INGLESIDE,NONE,100 Block of VIENNA ST,-122.426392837224,37.72594305235229
2010-04-20 18:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,TENDERLOIN,NONE,OFARRELL ST / HYDE ST,-122.416261836834,37.78537508463761
2004-02-17 19:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2014-03-06 01:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",TARAVAL,PSYCHOPATHIC CASE,0 Block of BUCKINGHAM WY,-122.478884586609,37.7258438313416
2015-04-02 23:00:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,TARAVAL,"ARREST, BOOKED",500 Block of SKYLINEBLVD HY,-122.498098202551,37.7145772172019
2010-06-30 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",CENTRAL,NONE,1000 Block of UNION ST,-122.416137153846,37.7996251250719
2007-08-23 21:55:00,ASSAULT,BATTERY OF A POLICE OFFICER,NORTHERN,"ARREST, BOOKED",300 Block of WALLER ST,-122.429442264493,37.7712222643015
2004-07-11 23:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.419671780303,37.7650501214714
2009-06-24 00:50:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,TENDERLOIN,NONE,EDDY ST / HYDE ST,-122.415885065788,37.783516056415294
2007-05-03 07:00:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,CENTRAL,NONE,1000 Block of CHESTNUT ST,-122.420666812024,37.8028627711287
2014-12-27 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,POWELL ST / BEACH ST,-122.41233347161699,37.807688763475596
2003-02-19 20:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,MISSION,"ARREST, BOOKED",700 Block of CAPP ST,-122.41764995973601,37.7546827649656
2013-05-03 22:30:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,NORTHERN,NONE,MCALLISTER ST / GOUGH ST,-122.423545232042,37.779672005548
2014-04-17 21:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,2100 Block of LARKIN ST,-122.420342483795,37.7975886223836
2006-10-20 21:05:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,NORTHERN,"ARREST, BOOKED",MARKET ST / VANNESS AV,-122.419257894814,37.7751462916539
2008-10-15 16:13:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,"ARREST, BOOKED",400 Block of OFARRELL ST,-122.412563218508,37.785785061938206
2011-11-04 08:50:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,16TH ST / VALENCIA ST,-122.421886357981,37.7649178909424
2015-04-28 03:00:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,MISSION,"ARREST, BOOKED",500 Block of SOUTH VAN NESS AV,-122.417339031772,37.764366072282904
2014-08-08 18:42:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,RICHMOND,"ARREST, BOOKED",FULTON ST / 34TH AV,-122.493831414336,37.7721285526305
2008-11-02 11:01:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2011-12-01 06:15:00,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE,SOUTHERN,NONE,300 Block of KING ST,-122.39502174591401,37.775312852228396
2010-10-07 11:00:00,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",TARAVAL,NONE,900 Block of HOLLOWAY AV,-122.464032343212,37.7216281335285
2008-12-27 15:30:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",TARAVAL,"ARREST, CITED",15TH AV / TARAVAL ST,-122.47135630952499,37.743237741197
2005-11-05 23:17:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,BAYVIEW,"ARREST, CITED",1600 Block of KIRKWOOD AV,-122.390952930587,37.7386625599684
2012-05-04 19:05:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,11TH ST / MISSION ST,-122.417104895556,37.774324286790794
2009-11-23 02:32:00,WEAPON LAWS,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2007-12-01 13:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-08-20 12:45:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",TARAVAL,NONE,1900 Block of OCEAN AV,-122.46256031901,37.7252945346576
2009-12-22 23:51:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,RICHMOND,"ARREST, BOOKED",FULTON ST / 6TH AV,-122.46374992639099,37.7736224122729
2014-06-25 14:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,MISSION,NONE,800 Block of HAMPSHIRE ST,-122.40775988505399,37.7584967909445
2003-10-04 20:40:00,OTHER OFFENSES,PROBATION VIOLATION,MISSION,"ARREST, BOOKED",3100 Block of 18TH ST,-122.414509955234,37.7620735726425
2010-09-23 09:56:00,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,CENTRAL,"ARREST, BOOKED",300 Block of BAY ST,-122.41280375299999,37.8057739875696
2013-11-29 11:45:00,NON-CRIMINAL,LOST PROPERTY,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
2006-12-14 03:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,MISSION,NONE,500 Block of DIAMOND ST,-122.436632174986,37.7539452559781
2005-04-18 11:39:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,"ARREST, CITED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
2004-11-11 11:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,INGLESIDE,NONE,700 Block of CAYUGA AV,-122.437443869361,37.726133317632396
2011-08-11 20:00:00,MISSING PERSON,MISSING ADULT,CENTRAL,LOCATED,700 Block of KEARNY ST,-122.40484784786699,37.7951006528052
2012-01-10 00:01:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2008-12-14 13:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,INGLESIDE,NONE,700 Block of CHENERY ST,-122.43454475600599,37.7345238907114
2008-11-25 09:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
2005-02-22 10:10:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NORTHERN,NONE,1800 Block of GREEN ST,-122.42955285369,37.796831255683706
2012-04-04 12:00:00,OTHER OFFENSES,PROBATION VIOLATION,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2013-05-01 10:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,SOUTHERN,"ARREST, BOOKED",FOLSOM ST / COLUMBIASQUARE ST,-122.40643989067699,37.777856711803395
2007-11-03 18:07:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / JONES ST,-122.412970537591,37.78578837668879
2008-01-22 17:15:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.432914603494,37.7843533426568
2014-10-17 22:54:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,NORTHERN,NONE,1300 Block of FILLMORE ST,-122.432355641362,37.781906547674105
2009-09-30 02:19:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,"ARREST, CITED",SILVER AV / THOMAS AV,-122.40035732544901,37.73558103611
2005-09-19 09:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",INGLESIDE,NONE,600 Block of MADRID ST,-122.434522769315,37.7192421828119
2003-04-04 03:19:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.410041631816,37.78195365372571
2012-02-25 01:11:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,CENTRAL,"ARREST, CITED",600 Block of POST ST,-122.41307280202601,37.787754476656794
2012-05-30 14:50:00,OTHER OFFENSES,BEYOND PARENTAL CONTROL,SOUTHERN,PSYCHOPATHIC CASE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-05-16 02:20:00,LARCENY/THEFT,PETTY THEFT COIN OPERATED MACHINE,INGLESIDE,"ARREST, BOOKED",3300 Block of MISSION ST,-122.422141862352,37.7422279842217
2008-05-14 17:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,INGLESIDE,NONE,600 Block of EDINBURGH ST,-122.433721677127,37.718859841859
2005-12-31 13:05:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,CENTRAL,"ARREST, CITED",300 Block of POST ST,-122.407612885387,37.7884486019705
2007-08-07 19:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,TARAVAL,NONE,1300 Block of LA PLAYA ST,-122.50913483919099,37.76119776776321
2003-05-18 12:00:00,NON-CRIMINAL,LOST PROPERTY,RICHMOND,NONE,500 Block of JOHN F KENNEDY DR,-122.46620466789301,37.7725405391593
2004-12-23 09:30:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,SOUTHERN,"ARREST, BOOKED",200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239
2003-02-07 18:00:00,NON-CRIMINAL,LOST PROPERTY,RICHMOND,NONE,GEARY BL / PRESIDIO AV,-122.44582072225599,37.7824873966953
2014-01-20 13:00:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",TARAVAL,NONE,600 Block of IRVING ST,-122.464722568832,37.7641617177631
2005-12-16 18:39:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.446612978839,37.7822458223917
2006-06-01 06:10:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",SOUTHERN,"ARREST, BOOKED",MINNA ST / 9TH ST,-122.414177161792,37.775800257334105
2007-06-02 08:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,TARAVAL,NONE,200 Block of GRANADA AV,-122.457235250338,37.7229939308537
2004-10-14 22:00:00,VEHICLE THEFT,STOLEN TRUCK,NORTHERN,NONE,400 Block of AVILA ST,-122.440034842922,37.80574456541471
2012-01-27 22:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,1000 Block of RANDOLPH ST,-122.471423030897,37.7149806037297
2015-04-04 14:00:00,NON-CRIMINAL,CASE CLOSURE,TARAVAL,UNFOUNDED,1400 Block of 25TH AV,-122.48328728084299,37.760468023902796
2012-07-24 13:40:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,TENDERLOIN,NONE,100 Block of EDDY ST,-122.41013523637699,37.78418890752671
2008-09-04 13:12:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,CENTRAL,"ARREST, BOOKED",100 Block of MAIDEN LN,-122.40591123648399,37.7880756774805
2006-12-11 06:47:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,MISSION,NONE,14TH ST / FOLSOM ST,-122.41561633832,37.7685360123583
2011-01-01 00:45:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,SOUTHERN,NONE,MARKET ST / THE EMBARCADERONORTH ST,-122.39398368522801,37.795060765295
2009-06-09 09:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,NONE,INDIANA ST / TUBBS ST,-122.39103221482,37.7562367738071
2007-09-05 19:30:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,NORTHERN,"ARREST, CITED",700 Block of EDDY ST,-122.42002595593901,37.7830500140737
2012-09-03 10:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,MISSION,NONE,MISSION ST / 20TH ST,-122.419052694349,37.7586324051562
2006-01-25 17:41:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",MISSION,NONE,0 Block of LINDA ST,-122.42287778789199,37.7608102177178
2012-12-12 09:00:00,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",TARAVAL,NONE,900 Block of PLYMOUTH AV,-122.45605161826401,37.719152132332795
2004-03-17 11:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,BAYVIEW,"ARREST, BOOKED",1300 Block of FITZGERALD AV,-122.39408312508002,37.722619327013604
2008-11-30 16:36:00,OTHER OFFENSES,PROBATION VIOLATION,TENDERLOIN,"ARREST, BOOKED",200 Block of HYDE ST,-122.415721688006,37.7830679886919
2004-11-25 02:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,19TH ST / CASELLI AV,-122.44379742425,37.7591361352791
2003-12-09 11:00:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,INGLESIDE,"ARREST, BOOKED",0 Block of ROEMER WY,-122.446571654745,37.7090296042376
2009-11-24 17:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,0 Block of CRAGMONT AV,-122.46737294731301,37.7499093206117
2010-08-09 18:30:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",CENTRAL,PSYCHOPATHIC CASE,1500 Block of STOCKTON ST,-122.409035282337,37.7999845229184
2015-05-01 00:01:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",TENDERLOIN,NONE,0 Block of POWELL ST,-122.407845374111,37.7850943210103
2013-01-25 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-02-19 18:29:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,TENDERLOIN,NONE,0 Block of OFARRELL ST,-122.405895369887,37.786734218498296
2011-11-20 00:20:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,SOUTHERN,NONE,200 Block of 4TH ST,-122.402138726346,37.7828832616017
2009-12-07 15:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,INGLESIDE,NONE,600 Block of ATHENS ST,-122.43131736182899,37.71771007239522
2015-02-02 08:41:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",CENTRAL,NONE,COLUMBUS AV / MASON ST,-122.412911739492,37.8021828448089
2004-06-10 02:00:00,ASSAULT,THREATS AGAINST LIFE,RICHMOND,"ARREST, BOOKED",4700 Block of GEARY BL,-122.47019041590099,37.7808757916602
2004-02-07 21:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2007-12-30 02:05:00,VEHICLE THEFT,STOLEN AUTOMOBILE,CENTRAL,"ARREST, BOOKED",VALLEJO ST / POWELL ST,-122.41045954645,37.7983714449989
2010-12-28 16:01:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),TARAVAL,NONE,1200 Block of 40TH AV,-122.499623202663,37.763494581152
2007-11-18 11:13:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,BAYVIEW,"ARREST, BOOKED",1600 Block of MCKINNON AV,-122.38966070117701,37.7361786073283
2007-02-21 22:55:00,WARRANTS,WARRANT ARREST,BAYVIEW,"ARREST, BOOKED",2400 Block of GRIFFITH ST,-122.38633885569901,37.71910659197921
2009-09-17 00:01:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-12-28 10:30:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",INGLESIDE,NONE,0 Block of NAVAJO AV,-122.443857351608,37.7200829725539
2004-07-25 17:10:00,MISSING PERSON,MISSING JUVENILE,CENTRAL,LOCATED,2800 Block of TAYLOR ST,-122.415923448242,37.8085905137102
2005-11-04 17:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,NORTHERN,NONE,300 Block of PAGE ST,-122.426555668987,37.77361306163871
2013-11-03 23:00:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,TARAVAL,NONE,1600 Block of LINCOLN WY,-122.47565548380899,37.7654140465005
2010-07-17 02:05:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,NONE,DIVISADERO ST / HAIGHT ST,-122.437048523435,37.7712678186367
2005-09-20 13:17:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,"ARREST, CITED",THOMAS AV / KEITH ST,-122.38942129908199,37.729353849275896
2010-10-07 19:00:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),NORTHERN,NONE,1700 Block of VANNESS AV,-122.422777244531,37.7917190991489
2008-01-27 12:00:00,KIDNAPPING,FALSE IMPRISONMENT,BAYVIEW,"ARREST, BOOKED",800 Block of CHINABASIN ST,-122.386775025935,37.765377517215
2006-06-16 11:50:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,MISSION,"ARREST, CITED",HARRISON ST / 16TH ST,-122.413107622693,37.765448018026596
2006-01-14 18:50:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.42768226481701,37.76831480085021
2010-11-19 08:30:00,NON-CRIMINAL,FOUND PROPERTY,SOUTHERN,NONE,MARKET ST / 3RD ST,-122.403434086745,37.78764305018
2007-04-21 23:30:00,ASSAULT,INFLICT INJURY ON COHABITEE,INGLESIDE,"ARREST, BOOKED",600 Block of SAN JOSE AV,-122.42224263142401,37.74473055186
2003-07-22 09:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
2009-07-22 21:56:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",BAYVIEW,NONE,1000 Block of CONNECTICUT ST,-122.397089183868,37.753598788032704
2003-07-11 21:30:00,ASSAULT,INFLICT INJURY ON COHABITEE,CENTRAL,NONE,800 Block of STOCKTON ST,-122.407748570466,37.7936363546057
2015-01-06 18:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387
2013-05-29 01:20:00,OTHER OFFENSES,RESISTING ARREST,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2009-01-06 04:10:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,MISSION,"ARREST, CITED",SOUTH VAN NESS AV / 17TH ST,-122.41733258259,37.7635718955893
2014-07-24 13:09:00,WARRANTS,WARRANT ARREST,SOUTHERN,"ARREST, BOOKED",MARKET ST / 7TH ST,-122.41251534135598,37.78047774805079
2003-09-07 12:00:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2007-09-08 20:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,RICHMOND,NONE,200 Block of 22ND AV,-122.48165517315701,37.783079473338596
2006-08-21 18:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TENDERLOIN,NONE,LARKIN ST / GOLDEN GATE AV,-122.41714684383601,37.781446350134004
2013-06-10 08:35:00,WARRANTS,WARRANT ARREST,SOUTHERN,"ARREST, BOOKED",500 Block of NATOMA ST,-122.408298620023,37.7797671147527
2003-07-08 17:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,CENTRAL,NONE,LEAVENWORTH ST / FILBERT ST,-122.417589710614,37.800340613824396
2008-06-26 14:28:00,FRAUD,FALSE ID TO PEACE OFFICER,TENDERLOIN,"ARREST, BOOKED",200 Block of HYDE ST,-122.415721688006,37.7830679886919
2012-10-16 08:00:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-03-12 10:50:00,LIQUOR LAWS,SALE OF ALCOHOL TO MINOR,RICHMOND,"ARREST, CITED",4100 Block of GEARY BL,-122.463744066947,37.7809170537256
2015-03-05 13:00:00,NON-CRIMINAL,FOUND PROPERTY,PARK,NONE,0 Block of LAAVANZADA ST,-122.452292633382,37.7559359808896
2004-08-06 14:09:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-04 21:49:00,OTHER OFFENSES,RESISTING ARREST,TARAVAL,"ARREST, BOOKED",700 Block of RANDOLPH ST,-122.469358835309,37.7143059429287
2003-05-01 23:50:00,OTHER OFFENSES,PAROLE VIOLATION,TENDERLOIN,"ARREST, BOOKED",EDDY ST / JONES ST,-122.412597377194,37.783932027704395
2010-04-11 10:48:00,WEAPON LAWS,CARRYING A CONCEALED WEAPON,MISSION,"ARREST, CITED",1900 Block of MISSION ST,-122.41967661615,37.7658510977435
2006-11-13 01:20:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,INGLESIDE,NONE,500 Block of ALEMANY BL,-122.42130534839599,37.7321638759455
2011-02-26 16:20:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.415694922134,37.7825851968467
2014-07-24 20:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,TARAVAL,NONE,1500 Block of GREAT HY,-122.508936002109,37.7574698367316
2006-02-08 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,BROADWAY ST / KEARNY ST,-122.40547592923099,37.7980180687744
2003-02-05 19:00:00,ASSAULT,CHILD ABUSE (PHYSICAL),PARK,"ARREST, BOOKED",600 Block of LYON ST,-122.443160224712,37.7767128942951
2014-01-21 19:51:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.410955248906,37.7841399509594
2005-01-25 15:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,HARRISON ST / THE EMBARCADEROSOUTH ST,-122.388485562428,37.7895727625395
2003-08-22 09:28:00,ASSAULT,BATTERY,MISSION,NONE,2200 Block of MARKET ST,-122.431957685196,37.7649357189679
2010-03-14 01:30:00,DISORDERLY CONDUCT,DISTURBING THE PEACE,RICHMOND,NONE,3000 Block of TURK ST,-122.456446680574,37.7773963233637
2003-05-18 03:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,BAYVIEW,NONE,700 Block of THORNTON AV,-122.40316529812401,37.7307788361644
2006-07-26 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",TARAVAL,NONE,HEAD ST / SARGENT ST,-122.464419828374,37.7161256726704
2009-03-19 10:00:00,NON-CRIMINAL,TARASOFF REPORT,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-06-28 18:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",SOUTHERN,NONE,TOWNSEND ST / 5TH ST,-122.397207764774,37.7753329097568
2014-07-25 21:45:00,ASSAULT,THREATS AGAINST LIFE,CENTRAL,"ARREST, BOOKED",200 Block of BAY ST,-122.41113552527,37.8058701106587
2005-08-12 17:05:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,MISSION,UNFOUNDED,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2012-08-22 10:07:00,ASSAULT,THREATS AGAINST LIFE,CENTRAL,NONE,1000 Block of BUSH ST,-122.414576897,37.7894768075723
2015-04-28 19:50:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",CENTRAL,"ARREST, BOOKED",600 Block of CALIFORNIA ST,-122.40504699065,37.792616896353
2005-01-27 23:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,TARAVAL,NONE,2200 Block of 14TH AV,-122.470359608661,37.7460753397163
2010-05-17 11:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.389326010609,37.736796841173295
2005-11-01 08:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,SOUTHERN,NONE,THE EMBARCADEROSOUTH ST / BRYANT ST,-122.388190455156,37.78477317603621
